Date,Close
5/1/2018 16:00:00,156.5
5/2/2018 16:00:00,156.38
5/3/2018 16:00:00,157.02
5/4/2018 16:00:00,159.16
5/7/2018 16:00:00,159.22
5/8/2018 16:00:00,158.46
5/9/2018 16:00:00,161.47
5/10/2018 16:00:00,159.96
5/11/2018 16:00:00,159.29
5/14/2018 16:00:00,161.03
5/15/2018 16:00:00,160.45
5/16/2018 16:00:00,160.67
5/17/2018 16:00:00,160.7
5/18/2018 16:00:00,159.78
5/21/2018 16:00:00,161.38
5/22/2018 16:00:00,160.86
5/23/2018 16:00:00,160.11
5/24/2018 16:00:00,160.01
5/25/2018 16:00:00,159.6
5/29/2018 16:00:00,158.68
5/30/2018 16:00:00,165.49
5/31/2018 16:00:00,162.9
6/1/2018 16:00:00,167.53
6/4/2018 16:00:00,170.3
6/5/2018 16:00:00,170.46
6/6/2018 16:00:00,173.54
6/7/2018 16:00:00,171.74
6/8/2018 16:00:00,170.97
6/11/2018 16:00:00,170.63
6/12/2018 16:00:00,170.22
6/13/2018 16:00:00,170.48
6/14/2018 16:00:00,168.86
6/15/2018 16:00:00,169.83
6/18/2018 16:00:00,169.2
6/19/2018 16:00:00,166.96
6/20/2018 16:00:00,167.21
6/21/2018 16:00:00,168.22
6/22/2018 16:00:00,168.42
6/25/2018 16:00:00,166.49
6/26/2018 16:00:00,165.55
6/27/2018 16:00:00,163.19
6/28/2018 16:00:00,163.86
6/29/2018 16:00:00,163.92
7/2/2018 16:00:00,163.99
7/3/2018 13:00:00,161.12
7/5/2018 16:00:00,160.3
7/6/2018 16:00:00,160.43
7/9/2018 16:00:00,163.53
7/10/2018 16:00:00,164.17
7/11/2018 16:00:00,165.43
7/12/2018 16:00:00,166.7
7/13/2018 16:00:00,166.91
7/16/2018 16:00:00,168.22
7/17/2018 16:00:00,169.02
7/18/2018 16:00:00,171.02
7/19/2018 16:00:00,168.85
7/20/2018 16:00:00,169
7/23/2018 16:00:00,169.3
7/24/2018 16:00:00,168.46
7/25/2018 16:00:00,169.52
7/26/2018 16:00:00,166.46
7/27/2018 16:00:00,165.49
7/30/2018 16:00:00,161.21
7/31/2018 16:00:00,159.12
8/1/2018 16:00:00,161.43
8/2/2018 16:00:00,161.04
8/3/2018 16:00:00,161.63
8/6/2018 16:00:00,161.87
8/7/2018 16:00:00,163.42
8/8/2018 16:00:00,163.74
8/9/2018 16:00:00,162.97
8/10/2018 16:00:00,163.92
8/13/2018 16:00:00,163.95
8/14/2018 16:00:00,166.31
8/15/2018 16:00:00,167.67
8/16/2018 16:00:00,168.48
8/17/2018 16:00:00,169.38
8/20/2018 16:00:00,169.68
8/21/2018 16:00:00,167.36
8/22/2018 16:00:00,166.89
8/23/2018 16:00:00,167.67
8/24/2018 16:00:00,169.32
