Date,Close
5/1/2018 16:00:00,72.34
5/2/2018 16:00:00,72.38
5/3/2018 16:00:00,70.14
5/4/2018 16:00:00,70.25
5/7/2018 16:00:00,70.57
5/8/2018 16:00:00,70.07
5/9/2018 16:00:00,71.87
5/10/2018 16:00:00,71.38
5/11/2018 16:00:00,71.42
5/14/2018 16:00:00,71.72
5/15/2018 16:00:00,71.9
5/16/2018 16:00:00,72.27
5/17/2018 16:00:00,72.4
5/18/2018 16:00:00,71.55
5/21/2018 16:00:00,72.36
5/22/2018 16:00:00,71.75
5/23/2018 16:00:00,71.27
5/24/2018 16:00:00,71.27
5/25/2018 16:00:00,70.86
5/29/2018 16:00:00,69.82
5/30/2018 16:00:00,71.66
5/31/2018 16:00:00,70.89
6/1/2018 16:00:00,72.11
6/4/2018 16:00:00,72.51
6/5/2018 16:00:00,73.78
6/6/2018 16:00:00,75.98
6/7/2018 16:00:00,75.49
6/8/2018 16:00:00,75.66
6/11/2018 16:00:00,75.33
6/12/2018 16:00:00,75.44
6/13/2018 16:00:00,74.87
6/14/2018 16:00:00,74.52
6/15/2018 16:00:00,74.36
6/18/2018 16:00:00,74.41
6/19/2018 16:00:00,74.27
6/20/2018 16:00:00,74.61
6/21/2018 16:00:00,74.93
6/22/2018 16:00:00,74.8
6/25/2018 16:00:00,74.3
6/26/2018 16:00:00,74.57
6/27/2018 16:00:00,73.53
6/28/2018 16:00:00,73.84
6/29/2018 16:00:00,73.55
7/2/2018 16:00:00,73.73
7/3/2018 13:00:00,72.59
7/5/2018 16:00:00,72.7
7/6/2018 16:00:00,73.1
7/9/2018 16:00:00,74.58
7/10/2018 16:00:00,74.44
7/11/2018 16:00:00,74.64
7/12/2018 16:00:00,74.76
7/13/2018 16:00:00,74.7
7/16/2018 16:00:00,75.19
7/17/2018 16:00:00,75.61
7/18/2018 16:00:00,76.77
7/19/2018 16:00:00,75.76
7/20/2018 16:00:00,75.81
7/23/2018 16:00:00,76.59
7/24/2018 16:00:00,76.44
7/25/2018 16:00:00,76.79
7/26/2018 16:00:00,77.05
